"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"166","Census Tract 120","244","Census Tract 906.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2620,2073,3310
"166","Census Tract 120","245","Census Tract 910.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2039,1576,2636
"166","Census Tract 120","246","Census Tract 906.01","3/1/2020 - 3/31/2020, Every day, Daily Average",2403,1927,2995
"166","Census Tract 120","247","Census Tract 907.01","3/1/2020 - 3/31/2020, Every day, Daily Average",2167,1692,2774
"166","Census Tract 120","248","Census Tract 907.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2191,1732,2771
"166","Census Tract 120","249","Census Tract 911.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2020,1698,2402
"166","Census Tract 120","251","Census Tract 909.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2463,1890,3208
"166","Census Tract 120","252","Census Tract 910.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1906,1475,2462
"166","Census Tract 120","255","Census Tract 805.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1400,1060,1848
"166","Census Tract 120","256","Census Tract 805.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1746,1436,2122
"166","Census Tract 120","258","Census Tract 406.14","3/1/2020 - 3/31/2020, Every day, Daily Average",1315,954,1811
"166","Census Tract 120","259","Census Tract 405.18","3/1/2020 - 3/31/2020, Every day, Daily Average",1377,1176,1612
